station_id,station_name,station_type,latitude,longitude,date,temp_max_f,temp_min_f,precip_in,snowfall_in,wind_speed_mph
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-01,NA,NA,0.14,1.5,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-02,NA,NA,0,0,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-03,NA,NA,0.05,0,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-04,NA,NA,0.25,0,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-05,NA,NA,0.16,0.3,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-06,NA,NA,0,0,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-07,NA,NA,0,0,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-08,NA,NA,0.02,0.3,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-09,NA,NA,0,0,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-10,NA,NA,0.29,0,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-11,NA,NA,0.48,0,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-12,NA,NA,0.18,0.1,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-13,NA,NA,0,0,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-14,NA,NA,0,0,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-15,NA,NA,0,0,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-16,NA,NA,0.06,0,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-17,NA,NA,0.02,0.2,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-18,NA,NA,0.38,3.5,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-19,NA,NA,0.32,0.5,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-20,NA,NA,0.2,5.6,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-21,NA,NA,0,0.1,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-22,NA,NA,0,0,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-23,NA,NA,0,0,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-24,NA,NA,0.02,0,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-25,NA,NA,0.39,0,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-26,NA,NA,0.04,0.1,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-27,NA,NA,0.02,0.1,NA
US1OHCY0024,"PARMA 1.9 NNW, OH US",Volunteer (CoCoRaHS),41.408813,-81.744789,2020-01-28,NA,NA,0,0,NA
